sample_name,sample_type,component_group_name,replicate_group_name,component_name,batch_name,rack_number,plate_number,pos_number,inj_number,dilution_factor,inj_volume,inj_volume_units,operator_name,acq_method_name,proc_method_name,original_filename,acquisition_date_and_time,scan_polarity,scan_mass_low,scan_mass_high,injection_name,used_,peak_apex_int,RT,absolute_difference
ID_1_rep1,Unknown,Ala_232,,Ala_232,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,7826801.000000,262.215363,
ID_1_rep1,Unknown,Ala_232,,Ala_233,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1928598.375000,262.215363,
ID_1_rep1,Unknown,Ala_232,,Ala_234,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,787927.750000,262.215363,
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,5670641.000000,262.189758,
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1378059.875000,262.189758,
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,566252.687500,262.189758,
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,87195.031250,262.189758,
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1285.573364,267.256500,
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,69648.562500,267.256500,
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,16662.226562,267.256500,
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,7245.854492,267.256500,
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,186817.937500,278.673218,
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,45470.910156,278.673218,
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,17307.257812,278.673218,
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,2911.368164,278.673218,
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,134.338379,290.020538,
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,12876.065430,290.020538,
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,3134.891357,290.020538,
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1342.225464,290.020538,
ID_1_rep1,Unknown,Asp_302,,Asp_302,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,4900895.500000,727.946594,
ID_1_rep1,Unknown,Asp_302,,Asp_303,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1373597.375000,727.946594,
ID_1_rep1,Unknown,Asp_302,,Asp_304,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,552266.687500,727.946594,
ID_1_rep1,Unknown,Asp_390,,Asp_390,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1786201.375000,728.149292,
ID_1_rep1,Unknown,Asp_390,,Asp_391,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,633108.937500,728.149292,
ID_1_rep1,Unknown,Asp_390,,Asp_392,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,291612.093750,728.149292,
ID_1_rep1,Unknown,Asp_390,,Asp_393,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,67317.523438,728.149292,
