sample_name,sample_type,component_group_name,replicate_group_name,component_name,batch_name,rack_number,plate_number,pos_number,inj_number,dilution_factor,inj_volume,inj_volume_units,operator_name,acq_method_name,proc_method_name,original_filename,acquisition_date_and_time,scan_polarity,scan_mass_low,scan_mass_high,injection_name,used_,peak_apex_int,RT
ID_1_rep1,Unknown,Ala_232,,Ala_232,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,7826801.000000,262.215363
ID_1_rep1,Unknown,Ala_232,,Ala_233,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,1928598.375000,262.215363
ID_1_rep1,Unknown,Ala_232,,Ala_234,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,787927.750000,262.215363
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,5670641.000000,262.189758
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,1378059.875000,262.189758
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,566252.687500,262.189758
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,true,87195.031250,262.189758
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,1285.573364,267.256500
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,69648.562500,267.256500
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,16662.226562,267.256500
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,7245.854492,267.256500
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,186817.937500,278.673218
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,45470.910156,278.673218
ID_1_rep1,Unknown,Ala_260,,Ala_262,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,17307.257812,278.673218
ID_1_rep1,Unknown,Ala_260,,Ala_263,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,2911.368164,278.673218
ID_1_rep1,Unknown,Ala_260,,Ala_260,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,134.338379,290.020538
ID_1_rep1,Unknown,Ala_260,,Ala_261,fluxaca,1,-1,1,1,1.000000,1.000000,uL,,ProAAsGCMS,,ID_1_rep1,1900-01-01_000000,,0.000000,999999995904.000000,ID_1_rep1_1_fluxaca_1900-01-01_000000,false,12876.065430,290.020538
