component_name,component_group_name,meta_value,ID_11_rep1,ID_11_rep2,ID_13_rep1,ID_13_rep2,ID_15_rep1,ID_15_rep2,ID_17_rep1,ID_17_rep2,ID_19_rep1,ID_19_rep2,ID_1_rep1,ID_1_rep2,ID_21_rep1,ID_21_rep2,ID_23_rep1,ID_23_rep2,ID_25_rep1,ID_25_rep2,ID_27_rep1,ID_27_rep2,ID_29_rep1,ID_29_rep2,ID_31_rep1,ID_31_rep2,ID_33_rep1,ID_33_rep2,ID_35_rep1,ID_35_rep2,ID_37_rep1,ID_37_rep2,ID_39_rep1,ID_39_rep2,ID_3_rep1,ID_3_rep2,ID_41_rep1,ID_41_rep2,ID_43_rep1,ID_43_rep2,ID_45_rep1,ID_45_rep2,ID_47_rep1,ID_47_rep2,ID_49_rep1,ID_49_rep2,ID_51_rep1,ID_51_rep2,ID_5_rep1,ID_5_rep2,ID_7_rep1,ID_7_rep2,ID_9_rep1,ID_9_rep2
Ala_232,Ala_232,RT,261.588440,261.545990,261.560516,261.523956,261.587769,261.561188,261.540253,261.502289,261.629242,261.643982,262.215363,261.556732,261.571991,261.556946,261.574951,261.600677,261.592834,261.586121,261.596985,261.629059,261.594574,261.608429,261.520325,261.563171,261.580627,261.503784,261.582214,261.569122,261.540375,261.559845,261.521545,261.515717,261.620270,261.610443,261.597961,261.587158,261.469513,261.474030,261.549957,261.570526,261.564606,261.446075,261.461639,261.472870,261.501648,261.492676,261.542419,261.595062,261.617859,261.530975,261.571747,261.602356
Ala_232,Ala_232,absolute_difference,0.307540,0.308073,0.305285,0.305504,0.304110,0.303527,0.304379,0.304987,0.305959,0.307860,0.023299,0.020080,0.303759,0.302462,0.301340,0.304043,0.304437,0.303306,0.312083,0.315269,0.305331,0.305378,0.305129,0.305633,0.304517,0.303782,0.307080,0.306676,0.300172,0.301747,0.302800,0.302261,0.302108,0.304387,0.299541,0.300008,0.305454,0.305020,0.305262,0.306769,0.307877,0.305542,0.310734,0.311232,0.310906,0.310726,0.305451,0.307253,0.301794,0.302984,0.305887,0.309698
Ala_232,Ala_232,peak_apex_int,0.458106,0.457573,0.460360,0.460141,0.461535,0.462119,0.461266,0.460659,0.459686,0.457786,0.742346,0.745566,0.461886,0.463183,0.464306,0.461602,0.461209,0.462340,0.453562,0.450376,0.460315,0.460268,0.460516,0.460013,0.461129,0.461864,0.458565,0.458969,0.465474,0.463898,0.462845,0.463384,0.463537,0.461259,0.466104,0.465637,0.460192,0.460626,0.460384,0.458876,0.457769,0.460104,0.454912,0.454413,0.454740,0.454919,0.460194,0.458393,0.463852,0.462662,0.459759,0.455947
Ala_233,Ala_232,RT,261.588440,261.545990,261.560516,261.523956,261.587769,261.561188,261.540253,261.502289,261.629242,261.643982,262.215363,261.556732,261.571991,261.556946,261.574951,261.600677,261.592834,261.586121,261.596985,261.629059,261.594574,261.608429,261.520325,261.563171,261.580627,261.503784,261.582214,261.569122,261.540375,261.559845,261.521545,261.515717,261.620270,261.610443,261.597961,261.587158,261.469513,261.474030,261.549957,261.570526,261.564606,261.446075,261.461639,261.472870,261.501648,261.492676,261.542419,261.595062,261.617859,261.530975,261.571747,261.602356
Ala_233,Ala_232,absolute_difference,0.264854,0.264674,0.260401,0.261032,0.259922,0.259432,0.259149,0.261054,0.261115,0.263967,0.017149,0.015180,0.260275,0.260082,0.260399,0.262187,0.261627,0.261049,0.269097,0.272642,0.262657,0.262278,0.260947,0.261457,0.262618,0.263825,0.263121,0.263956,0.257124,0.258763,0.262931,0.262104,0.261754,0.262060,0.258480,0.258603,0.261515,0.260661,0.263190,0.264441,0.262988,0.262396,0.266353,0.267044,0.266820,0.266579,0.264821,0.265452,0.257741,0.259209,0.264894,0.267536
Ala_233,Ala_232,peak_apex_int,0.430626,0.430446,0.426173,0.426804,0.425694,0.425204,0.424921,0.426826,0.426887,0.429739,0.182921,0.180952,0.426047,0.425854,0.426171,0.427959,0.427399,0.426821,0.434869,0.438414,0.428429,0.428050,0.426719,0.427229,0.428390,0.429597,0.428893,0.429728,0.422896,0.424535,0.428703,0.427876,0.427526,0.427832,0.424252,0.424375,0.427287,0.426433,0.428962,0.430213,0.428760,0.428168,0.432125,0.432816,0.432592,0.432351,0.430593,0.431224,0.423513,0.424981,0.430666,0.433308
Ala_234,Ala_232,RT,261.588440,261.545990,261.560516,261.523956,261.587769,261.561188,261.540253,261.502289,261.629242,261.643982,262.215363,261.556732,261.571991,261.556946,261.574951,261.600677,261.592834,261.586121,261.596985,261.629059,261.594574,261.608429,261.520325,261.563171,261.580627,261.503784,261.582214,261.569122,261.540375,261.559845,261.521545,261.515717,261.620270,261.610443,261.597961,261.587158,261.469513,261.474030,261.549957,261.570526,261.564606,261.446075,261.461639,261.472870,261.501648,261.492676,261.542419,261.595062,261.617859,261.530975,261.571747,261.602356
Ala_234,Ala_232,absolute_difference,0.042686,0.043399,0.044885,0.044472,0.044189,0.044095,0.045230,0.043933,0.044845,0.043893,0.006150,0.004900,0.043484,0.042381,0.040940,0.041856,0.042810,0.042257,0.042986,0.042627,0.042674,0.043100,0.044183,0.044176,0.041899,0.039956,0.043959,0.042720,0.043047,0.042985,0.039870,0.040157,0.040354,0.042327,0.041061,0.041406,0.043939,0.044359,0.042072,0.042328,0.044889,0.043146,0.044381,0.044188,0.044086,0.044147,0.040630,0.041801,0.044053,0.043775,0.040993,0.042162
Ala_234,Ala_232,peak_apex_int,0.111268,0.111982,0.113467,0.113055,0.112771,0.112677,0.113813,0.112515,0.113427,0.112475,0.074732,0.073483,0.112067,0.110963,0.109523,0.110439,0.111392,0.110839,0.111568,0.111209,0.111257,0.111682,0.112765,0.112759,0.110481,0.108539,0.112542,0.111303,0.111630,0.111567,0.108452,0.108740,0.108936,0.110909,0.109644,0.109988,0.112521,0.112942,0.110655,0.110911,0.113471,0.111728,0.112963,0.112770,0.112669,0.112730,0.109213,0.110383,0.112635,0.112357,0.109576,0.110745
Ala_260,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_260,Ala_260,absolute_difference,0.318795,0.319496,0.315774,0.314834,0.313449,0.315262,0.311832,0.311361,0.313670,0.314530,0.012298,0.012063,0.314804,0.315038,0.312545,0.310904,0.312814,0.313732,0.321303,0.317936,0.312741,0.316083,0.311447,0.316133,0.313651,0.312494,0.315946,0.314566,0.311992,0.312665,0.314753,0.314135,0.313641,0.311403,0.310285,0.310672,0.315115,0.314339,0.313823,0.314980,0.315981,0.316953,0.317893,0.319147,0.322250,0.319055,0.315296,0.314866,0.314058,0.313824,0.315911,0.316603
Ala_260,Ala_260,peak_apex_int,0.429745,0.429044,0.432766,0.433706,0.435091,0.433278,0.436707,0.437179,0.434870,0.434010,0.736241,0.736477,0.433735,0.433502,0.435995,0.437636,0.435726,0.434808,0.427237,0.430604,0.435799,0.432457,0.437093,0.432407,0.434889,0.436046,0.432594,0.433974,0.436548,0.435875,0.433787,0.434405,0.434899,0.437136,0.438255,0.437868,0.433425,0.434201,0.434717,0.433560,0.432559,0.431587,0.430647,0.429393,0.426290,0.429485,0.433244,0.433674,0.434482,0.434716,0.432629,0.431937
Ala_261,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_261,Ala_260,absolute_difference,0.250594,0.250791,0.245893,0.246311,0.244796,0.245885,0.242032,0.243043,0.244394,0.244595,0.008469,0.008985,0.246259,0.246787,0.246090,0.244348,0.245359,0.245051,0.253430,0.251968,0.245755,0.247633,0.242607,0.246517,0.247592,0.246210,0.247779,0.245946,0.244417,0.245946,0.247869,0.246297,0.248426,0.246361,0.243569,0.245440,0.245696,0.245780,0.246136,0.246519,0.247643,0.247524,0.249330,0.250117,0.251795,0.249885,0.248252,0.247885,0.244975,0.245434,0.249588,0.251254
Ala_261,Ala_260,peak_apex_int,0.421044,0.421240,0.416343,0.416760,0.415246,0.416335,0.412481,0.413493,0.414844,0.415045,0.178919,0.179435,0.416709,0.417237,0.416540,0.414797,0.415808,0.415500,0.423879,0.422418,0.416205,0.418082,0.413057,0.416966,0.418042,0.416660,0.418229,0.416396,0.414867,0.416395,0.418318,0.416746,0.418875,0.416811,0.414018,0.415889,0.416145,0.416230,0.416586,0.416968,0.418092,0.417973,0.419780,0.420567,0.422244,0.420334,0.418701,0.418335,0.415424,0.415883,0.420037,0.421703
Ala_262,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_262,Ala_260,absolute_difference,0.042814,0.043429,0.044155,0.042687,0.043445,0.043593,0.044181,0.043061,0.043528,0.043926,0.003113,0.002738,0.043252,0.043078,0.042098,0.041536,0.041553,0.043563,0.042638,0.041145,0.041920,0.042760,0.042921,0.044012,0.040904,0.041789,0.042882,0.042957,0.042422,0.041543,0.041305,0.041361,0.040829,0.040814,0.041725,0.040640,0.043466,0.043230,0.042376,0.042761,0.042788,0.043412,0.042705,0.042957,0.044191,0.043419,0.042268,0.042295,0.043437,0.042695,0.041342,0.041322
Ala_262,Ala_260,peak_apex_int,0.113220,0.113836,0.114561,0.113093,0.113852,0.113999,0.114587,0.113467,0.113935,0.114332,0.073519,0.073144,0.113658,0.113484,0.112504,0.111942,0.111959,0.113969,0.113045,0.111551,0.112326,0.113166,0.113327,0.114418,0.111310,0.112195,0.113288,0.113363,0.112828,0.111950,0.111711,0.111767,0.111235,0.111220,0.112132,0.111046,0.113872,0.113636,0.112782,0.113168,0.113195,0.113819,0.113112,0.113363,0.114598,0.113826,0.112674,0.112702,0.113843,0.113101,0.111748,0.111728
