component_name,component_group_name,meta_value,ID_11_rep1,ID_11_rep2,ID_13_rep1,ID_13_rep2,ID_15_rep1,ID_15_rep2,ID_17_rep1,ID_17_rep2,ID_19_rep1,ID_19_rep2,ID_1_rep1,ID_1_rep2,ID_21_rep1,ID_21_rep2,ID_23_rep1,ID_23_rep2,ID_25_rep1,ID_25_rep2,ID_27_rep1,ID_27_rep2,ID_29_rep1,ID_29_rep2,ID_31_rep1,ID_31_rep2,ID_33_rep1,ID_33_rep2,ID_35_rep1,ID_35_rep2,ID_37_rep1,ID_37_rep2,ID_39_rep1,ID_39_rep2,ID_3_rep1,ID_3_rep2,ID_41_rep1,ID_41_rep2,ID_43_rep1,ID_43_rep2,ID_45_rep1,ID_45_rep2,ID_47_rep1,ID_47_rep2,ID_49_rep1,ID_49_rep2,ID_51_rep1,ID_51_rep2,ID_5_rep1,ID_5_rep2,ID_7_rep1,ID_7_rep2,ID_9_rep1,ID_9_rep2
Ala_232,Ala_232,RT,261.588440,261.545990,261.560516,261.523956,261.587769,261.561188,261.540253,261.502289,261.629242,261.643982,262.215363,261.556732,261.571991,261.556946,261.574951,261.600677,261.592834,261.586121,261.596985,261.629059,261.594574,261.608429,261.520325,261.563171,261.580627,261.503784,261.582214,261.569122,261.540375,261.559845,261.521545,261.515717,261.620270,261.610443,261.597961,261.587158,261.469513,261.474030,261.549957,261.570526,261.564606,261.446075,261.461639,261.472870,261.501648,261.492676,261.542419,261.595062,261.617859,261.530975,261.571747,261.602356
Ala_232,Ala_232,peak_apex_int,2791134.250000,2377047.000000,4262152.000000,3919677.500000,4419047.500000,4085634.500000,4671339.500000,4243510.000000,3826227.750000,3305250.750000,7826801.000000,7599483.000000,3268230.000000,3122117.000000,1146443.000000,1007658.625000,2296555.000000,2250132.250000,574919.875000,505254.781250,2459865.000000,2362535.250000,3956335.500000,3818069.250000,1208680.125000,1100606.875000,2836332.250000,2768672.000000,3491083.500000,3543284.750000,313835.812500,238170.875000,1421742.250000,1288903.750000,1980145.625000,2031381.375000,3883466.750000,3842861.750000,1565547.375000,1420903.500000,3461727.000000,3440203.750000,3086747.000000,3109870.000000,3250879.250000,3136216.250000,1518878.875000,1346524.750000,4392071.500000,4209017.000000,665020.375000,528693.375000
Ala_233,Ala_232,RT,261.588440,261.545990,261.560516,261.523956,261.587769,261.561188,261.540253,261.502289,261.629242,261.643982,262.215363,261.556732,261.571991,261.556946,261.574951,261.600677,261.592834,261.586121,261.596985,261.629059,261.594574,261.608429,261.520325,261.563171,261.580627,261.503784,261.582214,261.569122,261.540375,261.559845,261.521545,261.515717,261.620270,261.610443,261.597961,261.587158,261.469513,261.474030,261.549957,261.570526,261.564606,261.446075,261.461639,261.472870,261.501648,261.492676,261.542419,261.595062,261.617859,261.530975,261.571747,261.602356
Ala_233,Ala_232,peak_apex_int,2623706.000000,2236125.750000,3945632.250000,3635695.000000,4075881.000000,3759263.750000,4303267.000000,3931851.750000,3553217.500000,3102753.750000,1928598.375000,1844423.375000,3014638.500000,2870496.000000,1052284.000000,934217.625000,2128203.000000,2077267.375000,551224.812500,491835.468750,2289472.000000,2197163.750000,3665979.250000,3545963.750000,1122867.625000,1023716.375000,2652798.500000,2592279.500000,3171749.250000,3242623.750000,290685.281250,219920.531250,1311290.500000,1195498.875000,1802342.750000,1851369.750000,3605787.500000,3557599.750000,1458697.000000,1332147.625000,3242362.250000,3201421.500000,2932129.750000,2962064.500000,3092544.000000,2980631.250000,1421179.625000,1266717.625000,4010114.250000,3866221.250000,622938.625000,502442.593750
Ala_234,Ala_232,RT,261.588440,261.545990,261.560516,261.523956,261.587769,261.561188,261.540253,261.502289,261.629242,261.643982,262.215363,261.556732,261.571991,261.556946,261.574951,261.600677,261.592834,261.586121,261.596985,261.629059,261.594574,261.608429,261.520325,261.563171,261.580627,261.503784,261.582214,261.569122,261.540375,261.559845,261.521545,261.515717,261.620270,261.610443,261.597961,261.587158,261.469513,261.474030,261.549957,261.570526,261.564606,261.446075,261.461639,261.472870,261.501648,261.492676,261.542419,261.595062,261.617859,261.530975,261.571747,261.602356
Ala_234,Ala_232,peak_apex_int,677932.375000,581734.625000,1050514.000000,963049.187500,1079746.250000,996191.062500,1152605.375000,1036471.750000,944118.562500,812081.250000,787927.750000,749004.125000,792967.250000,747954.250000,270429.375000,241083.031250,554668.562500,539437.750000,141420.234375,124760.460938,594542.125000,573261.250000,968776.250000,935887.187500,289586.437500,258644.593750,696097.312500,671418.312500,837228.750000,852157.625000,73536.882812,55890.144531,334124.843750,309915.281250,465798.375000,479832.312500,949544.000000,942240.187500,376284.218750,343434.343750,858088.750000,835395.625000,766499.500000,771767.500000,805454.937500,777159.062500,360458.062500,324249.312500,1066508.500000,1022157.375000,158496.234375,128413.906250
Ala_260,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_260,Ala_260,peak_apex_int,1794165.125000,1513305.750000,2846899.000000,2611204.000000,2985920.000000,2715583.250000,3199186.500000,2874824.000000,2559253.500000,2171328.750000,5670641.000000,5409634.500000,2131001.000000,2009897.875000,706844.937500,628564.312500,1469620.875000,1424321.625000,352573.812500,307978.812500,1583477.500000,1507464.500000,2667516.750000,2538348.750000,754700.000000,683854.312500,1841116.750000,1780807.750000,2309442.000000,2334155.500000,187226.453125,140216.796875,893242.562500,815579.687500,1254135.875000,1295528.500000,2597503.750000,2572177.750000,985434.750000,902378.812500,2286197.250000,2265610.500000,2030532.250000,2042666.375000,2123278.250000,2069177.750000,955191.250000,842705.125000,2953468.500000,2828763.500000,403491.187500,322566.781250
Ala_261,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_261,Ala_260,peak_apex_int,1757840.625000,1485781.000000,2738864.000000,2509178.000000,2849728.000000,2609389.500000,3021713.250000,2719067.750000,2441398.500000,2076448.000000,1378059.875000,1318001.125000,2047346.750000,1934486.375000,675303.625000,595761.187500,1402442.125000,1361074.125000,349802.750000,302124.187500,1512283.875000,1457356.875000,2520829.750000,2447706.250000,725464.000000,653450.750000,1779978.250000,1708673.625000,2194743.500000,2229841.000000,180550.203125,134516.859375,860331.500000,777657.125000,1184779.125000,1230500.750000,2493946.250000,2465720.000000,944334.562500,867847.500000,2209736.250000,2194146.500000,1979292.250000,2000679.875000,2103128.250000,2025090.125000,923128.687500,812898.687500,2823919.750000,2706216.000000,391747.343750,314924.312500
