experiment_id,rxn_id,flux,flux_std_error,,
SA04,v1,1.910642051,0.01,,
SA04,v65,1.516190576,0.01,,
SA05,v1,1.220989781,0.01,,
SA05,v65,1.330385187,0.01,,
SA06,v1,3.00914336,0.01,,
SA06,v65,1.363337107,0.01,,
SA07,v1,2.145948446,0.01,,
SA07,v65,1.332785649,0.01,,
SA09,v1,4.338849989,0.01,,
SA09,v65,1.275042765,0.01,,
SA10,v1,2.155877326,0.01,,
SA10,v65,1.177018369,0.01,,
SA11,v1,2.962267971,0.01,,
SA11,v65,0.991897076,0.01,,
SA12,v1,1.849486911,0.01,,
SA12,v65,1.307239694,0.01,,
SA13,v1,1.458196154,0.01,,
SA13,v65,1.431032349,0.01,,
SA14,v1,5.263279667,0.01,,
SA14,v65,0.739064,0.01,,
SA15,v1,2.324501185,0.01,,
SA15,v65,1.052431715,0.01,,
SA16,v1,4.368363317,0.01,,
SA16,v65,1.541679106,0.01,,
SA17,v1,2.937956263,0.01,,
SA17,v65,1.074775703,0.01,,
SA18,v1,2.772243427,0.01,,
SA18,v65,1.032671866,0.01,,
SA19,v1,1.779047116,0.01,,
SA19,v65,1.217900029,0.01,,
SA20,v1,2.902583984,0.01,,
SA20,v65,1.650805943,0.01,,
SA21,v1,3.301880665,0.01,,
SA21,v65,1.087395682,0.01,,
SA22,v1,3.487196719,0.01,,
SA22,v65,1.278649661,0.01,,
SA23,v1,2.711682603,0.01,,
SA23,v65,1.083267191,0.01,,
SA26,v1,3.250943451,0.01,,
SA26,v65,1.83091397,0.01,,
SA27,v1,2.985924264,0.01,,
SA27,v65,1.046478548,0.01,,
SA28,v1,3.146679857,0.01,,
SA28,v65,1.469402043,0.01,,
SA29,v1,4.481754821,0.01,,
SA29,v65,1.038136355,0.01,,
SA30,v1,1.52436174,0.01,,
SA30,v65,1.216163403,0.01,,
SA31,v1,4.616835695,0.01,,
SA31,v65,1.427458753,0.01,,
SA32,v1,3.305562124,0.01,,
SA32,v65,1.2055311,0.01,,
SA33,v1,4.028292384,0.01,,
SA33,v65,0.990539442,0.01,,
SA34,v1,2.643374264,0.01,,
SA34,v65,1.30403762,0.01,,
SA35,v1,4.836445543,0.01,,
SA35,v65,0.928518151,0.01,,
SA36,v1,4.220024593,0.01,,
SA36,v65,0.750399633,0.01,,
SA37,v1,4.289493117,0.01,,
SA37,v65,0.77217377,0.01,,
SA38,v1,4.624429647,0.01,,
SA38,v65,0.986249155,0.01,,
SA39,v1,1.454691834,0.01,,
SA39,v65,1.846768321,0.01,,
SA40,v1,3.841261194,0.01,,
SA40,v65,1.21477914,0.01,,
SA41,v1,5.149093194,0.01,,
SA41,v65,0.990727311,0.01,,
SA42,v1,2.771769212,0.01,,
SA42,v65,0.74534055,0.01,,
SA43,v1,6.292488453,0.01,,
SA43,v65,1.567243897,0.01,,
SA44,v1,5.153997745,0.01,,
SA44,v65,1.042419274,0.01,,
SA45,v1,4.118682225,0.01,,
SA45,v65,1.019601021,0.01,,
SA46,v1,3.034860941,0.01,,
SA46,v65,1.302883094,0.01,,
SA47,v1,3.39779762,0.01,,
SA47,v65,1.26821088,0.01,,
SA48,v1,2.036937707,0.01,,
SA48,v65,1.553638645,0.01,,
SA49,v1,4.221728691,0.01,,
SA49,v65,1.473626739,0.01,,
SA50,v1,3.578574612,0.01,,
SA50,v65,1.545154195,0.01,,
SA51,v1,3.7739448,0.01,,
SA51,v65,1.815444998,0.01,,
