experiment_id,met_id,tracer_id,atom_ids,atom_mdv,enrichment
SA04,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA05,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA06,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA07,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA09,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA10,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA11,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA12,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA13,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA14,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA15,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA16,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA17,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA18,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA19,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA20,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA21,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA22,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA23,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA24,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA25,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA26,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA27,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA28,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA29,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA30,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA31,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA32,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA33,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA34,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA35,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA36,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA37,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA38,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA39,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA40,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA41,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA42,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA43,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA44,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA45,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA46,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA47,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA48,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA49,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA50,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
SA51,Gluc.ext,D-[1-13C]glucose,[1],"[0.01, 0.99]",1
